2019-10-21 11:48:15.959 INFO	c.t.a.f.f.r.a.FileDatasetBuilder:165	 ADF Selected; adf type ([ENVISAT_PROCESSOR_CONFIG]), file type (PROCESSOR_CONFIG), filename  (/media/fast_data/fast_test_data/data/aatsr/adf/ATS_PC1_AXVIEC20120618_154211_20101022_000000_20200101_000000)	
2019-10-21 11:48:29.869 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 23.829376852432723 longitude 89.4914568020966	
2019-10-21 11:48:29.870 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 23.778535022719996 longitude 89.5714916807872	
2019-10-21 11:48:29.870 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 23.72533823610612 longitude 89.6502390864328	
2019-10-21 11:48:29.871 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 23.66979643152413 longitude 89.72765259659552	
2019-10-21 11:48:29.872 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 23.611931389853336 longitude 89.80366022783697	
2019-10-21 11:48:29.872 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 23.55174231012193 longitude 89.87824010017631	
2019-10-21 11:48:29.873 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 23.489258394189577 longitude 89.95130704397843	
2019-10-21 11:48:29.884 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 23.424476650423518 longitude 90.02284274968447	
2019-10-21 11:48:29.885 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 23.357436815676056 longitude 90.09274595501063	
2019-10-21 11:48:29.886 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 23.2881135533382 longitude 90.16103859953074	
